supplier_id,total_orders,on_time_rate,avg_delay_days,lead_time_variability,avg_fill_rate,supplier_name,lead_time,contact_info,supplier_score,supplier_tier
4,218,0.6146788990825688,0.46788990825688076,1.5602717909251176,0.8930839838062243,Girish,2,girish04@supplier.com,0.7254348989193344,Reliable
20,278,0.5863309352517986,0.564748201438849,1.7623566151309078,0.8932506874125268,Rohit,2,rohit20@supplier.com,0.7043027534117168,Watchlist
2,98,0.5918367346938775,0.6428571428571429,1.7005153857932562,0.894478218326282,Ramesh,5,ramesh02@supplier.com,0.7011330374612261,Watchlist
10,189,0.5767195767195767,0.5873015873015873,1.6596101884810883,0.8908291188698877,Krishna,2,krishna10@supplier.com,0.6973140011282702,Watchlist
5,170,0.5823529411764706,0.7176470588235294,1.8596415300421665,0.8922042877994194,Ram,9,ram05@supplier.com,0.6907686804235922,Watchlist
13,253,0.5652173913043478,0.6837944664031621,1.8394956577955341,0.8889747529557461,Raju,7,raju13@supplier.com,0.6842683323444724,Watchlist
12,159,0.5534591194968553,0.6352201257861635,1.5237419947050859,0.8890634696041271,Shubham,10,shubham12@supplier.com,0.6825365104427217,Watchlist
19,135,0.5555555555555556,0.6888888888888889,1.7554463933145306,0.8946465027764223,Rahul,4,rahul19@supplier.com,0.6815473286033268,Watchlist
15,76,0.5526315789473685,0.6842105263157895,1.7065405655167962,0.8882985303924184,Shubhash,9,shubhash15@supplier.com,0.6783386961636623,Watchlist
7,198,0.5454545454545454,0.6363636363636364,1.7908654032277471,0.8870331324643764,Hari,3,hari07@supplier.com,0.6781383640392994,Watchlist
16,335,0.5492537313432836,0.6895522388059702,1.7694288743616158,0.8916458648718498,Rajesh,9,rajesh16@supplier.com,0.6776147901135119,Watchlist
3,75,0.5466666666666666,0.7066666666666667,1.6987541804998643,0.8902154183056488,Mukesh,5,mukesh03@supplier.com,0.6747628964069771,Watchlist
18,178,0.5393258426966292,0.702247191011236,1.7964483182157824,0.888285369131578,Amit,5,amit18@supplier.com,0.671088257584453,Watchlist
9,229,0.5458515283842795,0.7991266375545851,1.8740609640698689,0.8951583566688112,Manoj,7,manoj09@supplier.com,0.6701036611506991,Watchlist
6,216,0.5324074074074074,0.7361111111111112,1.7225701907369413,0.8923477991535296,Ganesh,3,ganesh06@supplier.com,0.6671050630370686,Watchlist
17,169,0.5384615384615384,0.8047337278106509,1.9001193775432075,0.8922395419489937,Ashok,8,ashok17@supplier.com,0.6654112041209876,Watchlist
11,258,0.5271317829457365,0.7170542635658915,1.6102117718956726,0.8853463391214216,Shivam,9,shivam11@supplier.com,0.6635590763228193,Watchlist
14,124,0.5241935483870968,0.7903225806451613,1.926596871390541,0.8978466367660518,Pramod,3,pramod14@supplier.com,0.6618451313540233,Watchlist
8,22,0.5,0.8181818181818182,1.651445647689541,0.8991579573130376,Rakesh,3,rakesh08@supplier.com,0.6497052850595632,Watchlist
1,144,0.5,0.8541666666666666,1.8585231748913953,0.9005018173874555,Mahesh,3,mahesh01@supplier.com,0.6480408046249353,Watchlist
